# 跨数据集汇总的信号装帧映射表，用于查看每个信号实例被打包到哪个 CANFD 帧。
# 同一 code 在 foundation / baseline1 中可能出现多次，对应新增副本或同源备份。
# baseline2 不新增副本，因此通常每个 code 只有 1 条映射记录。

[signal_frame_mapping]
dataset	scheme	code	message_id	signal_instance_index	signal_instance_count	is_added_copy	frame_id	frame_priority	frame_period_ms	frame_deadline_ms	frame_offset_ms	frame_trans_time_ms	frame_payload_bytes	frame_message_count	signal_period_ms	signal_deadline_ms	asil	level	type	src_ecu	dst_ecu
E12S200_12ecu_200signals_001	foundation	2858248010	6	1	1	0	36	121	50	50	0	0.039600000000000003	1	2	100	100	A	0	0	10	0
E12S200_12ecu_200signals_001	foundation	2904881646	16	1	2	0	56	27	10	10	0	0.039600000000000003	1	2	10	10	D	3	0	6	0
E12S200_12ecu_200signals_001	foundation	2904881646	16	2	2	1	107	43	10	10	1.4072000000020353	0.039600000000000003	1	2	10	10	D	3	0	6	0
E12S200_12ecu_200signals_001	foundation	2923674077	137	1	1	0	132	12	5	5	0	0.039600000000000003	1	3	10	10	A	0	0	1	0
E12S200_12ecu_200signals_001	foundation	2927130123	143	1	2	0	17	20	10	10	0	0.039600000000000003	1	2	10	10	D	3	0	6	3
E12S200_12ecu_200signals_001	foundation	2927130123	143	2	2	1	18	21	10	10	0.85280000000193468	0.039600000000000003	1	2	10	10	D	3	0	6	3
E12S200_12ecu_200signals_001	foundation	2928006046	4	1	1	0	127	156	100	100	0	0.039600000000000003	1	1	100	100	A	0	0	10	6
E12S200_12ecu_200signals_001	foundation	2977921776	112	1	1	0	76	33	10	10	0	0.0436	3	2	10	10	A	0	0	8	11
E12S200_12ecu_200signals_001	foundation	2991150896	10	1	2	0	81	97	20	20	0	0.039600000000000003	1	1	20	20	D	3	0	3	10
E12S200_12ecu_200signals_001	foundation	2991150896	10	2	2	1	82	98	20	20	5.6708000000010657	0.039600000000000003	1	1	20	20	D	3	0	3	10
E12S200_12ecu_200signals_001	foundation	3003447988	15	1	1	0	125	50	10	10	1.7280000000021118	0.039600000000000003	1	4	20	20	A	0	0	1	11
